neuron_id,base_vm_rest_mV,vm_gain_mV,fr_gain,phase0_rad,freq_hz,ar_phi,ar_noise_std,vm_obs_noise_std,syn_noise_std,phase_jitter_std,refractory_smooth,max_fr_hz,artifact_dropout_prob,artifact_clamp_prob,perturb_window_ms,perturb_scale,perturb_strength_vm,perturb_strength_fr_fraction,perturb_syn_delta
1,-65.32198450577286,15.355664833588875,0.13768811836919392,5.442800933112546,4.004784308941919,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.614226593343555,-3.68535956006133,0.368535956006133,-0.00245690637337422
2,-63.51073652952623,22.28006979376581,0.25410231277790035,3.3720650365541847,6.741858230264842,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.8912027917506324,-5.347216750503795,0.5347216750503795,-0.0035648111670025296
3,-60.87055027996446,22.93339544901599,0.2501410389279831,4.724442816285392,3.674514048494081,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.9173358179606396,-5.504014907763837,0.5504014907763837,-0.0036693432718425583
4,-64.14507392199535,24.134851242512973,0.3131875935383645,1.2308556867932992,7.023700242011086,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.9653940497005189,-5.792364298203113,0.5792364298203113,-0.0038615761988020757
5,-69.81267189864505,29.083799403477876,0.26051094256173657,1.5037394193272033,2.813234640465586,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,1.1633519761391151,-6.980111856834691,0.6980111856834691,-0.00465340790455646
6,-68.86877679513185,18.918249705939523,0.23326420181420365,2.5197349352861544,5.073610806379562,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.756729988237581,-4.540379929425486,0.45403799294254854,-0.003026919952950324
7,-71.5414310661363,25.638508906830246,0.2701589697372634,0.36712396524593943,4.219243985343242,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,1.02554035627321,-6.15324213763926,0.615324213763926,-0.00410216142509284
8,-61.69689853893689,26.523292700510762,0.19455784701815354,1.978792488390532,3.7607991300957107,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,1.0609317080204306,-6.365590248122583,0.6365590248122583,-0.004243726832081723
9,-65.21070080322781,26.449388384956052,0.3027850677607565,3.3234713757957746,3.309705058844248,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,1.057975535398242,-6.347853212389452,0.6347853212389453,-0.004231902141592968
10,-61.747940866268195,29.674265251598655,0.23301775616305032,1.5546233547684543,4.16838737318189,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,1.186970610063946,-7.121823660383677,0.7121823660383676,-0.004747882440255784
11,-62.240991892334435,20.056841452872696,0.2506221369320352,3.1394579821212347,3.606704084495929,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.8022736581149078,-4.813641948689447,0.48136419486894466,-0.003209094632459631
12,-60.77644926869585,33.2027184580461,0.27168888554810205,3.3979234163938146,4.216233166799779,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,1.328108738321844,-7.968652429931064,0.7968652429931063,-0.005312434953287376
13,-65.73661423014106,20.739718640438316,0.1821997493221717,4.884930169328793,3.7965123494132245,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.8295887456175326,-4.977532473705196,0.4977532473705195,-0.0033183549824701303
14,-61.31790802510684,20.475361727565605,0.2427972789855736,5.772571808289216,3.8563521835356704,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.8190144691026242,-4.914086814615745,0.4914086814615745,-0.003276057876410497
