neuron_id,epoch,start_ms,end_ms,pearson_r_vm_fr,n_samples
1,pre_baseline,0,499,0.5346173631367076,500
1,inhibitory_500_700,500,700,0.39842611358940977,201
1,mid_baseline,701,1199,0.6798815691304467,499
1,excitatory_1200_1300,1200,1300,0.22332371975759086,101
1,post_baseline,1301,1999,0.6564003588860041,699
2,pre_baseline,0,499,0.838931026030918,500
2,inhibitory_500_700,500,700,0.8497165054453952,201
2,mid_baseline,701,1199,0.8472346970804896,499
2,excitatory_1200_1300,1200,1300,0.8543910320071372,101
2,post_baseline,1301,1999,0.8447568650355618,699
3,pre_baseline,0,499,0.8613264168315882,500
3,inhibitory_500_700,500,700,0.9154964517026303,201
3,mid_baseline,701,1199,0.850246711228527,499
3,excitatory_1200_1300,1200,1300,0.9761839833533064,101
3,post_baseline,1301,1999,0.8504836111299511,699
4,pre_baseline,0,499,0.8389473953852123,500
4,inhibitory_500_700,500,700,0.8709852336211127,201
4,mid_baseline,701,1199,0.8644799823391025,499
4,excitatory_1200_1300,1200,1300,0.874825096132846,101
4,post_baseline,1301,1999,0.8478338986093861,699
5,pre_baseline,0,499,0.8510604691894146,500
5,inhibitory_500_700,500,700,0.864985316236644,201
5,mid_baseline,701,1199,0.8645339986328249,499
5,excitatory_1200_1300,1200,1300,,101
5,post_baseline,1301,1999,0.8448589098053585,699
6,pre_baseline,0,499,0.645888366986475,500
6,inhibitory_500_700,500,700,0.7402055630653999,201
6,mid_baseline,701,1199,0.6558966715561387,499
6,excitatory_1200_1300,1200,1300,0.13765547944220916,101
6,post_baseline,1301,1999,0.6857945550834659,699
7,pre_baseline,0,499,0.7508170675793728,500
7,inhibitory_500_700,500,700,0.9018123214878551,201
7,mid_baseline,701,1199,0.7769004029444907,499
7,excitatory_1200_1300,1200,1300,0.8564822429022273,101
7,post_baseline,1301,1999,0.7987946726144316,699
8,pre_baseline,0,499,0.8590957969498202,500
8,inhibitory_500_700,500,700,0.9508155497058741,201
8,mid_baseline,701,1199,0.8784919009035341,499
8,excitatory_1200_1300,1200,1300,0.8561310331755599,101
8,post_baseline,1301,1999,0.8884213899746638,699
9,pre_baseline,0,499,0.8475980458045544,500
9,inhibitory_500_700,500,700,0.9468384941506104,201
9,mid_baseline,701,1199,0.8510669124000475,499
9,excitatory_1200_1300,1200,1300,-0.08217657112222447,101
9,post_baseline,1301,1999,0.8377764018838034,699
10,pre_baseline,0,499,0.9068103751462175,500
10,inhibitory_500_700,500,700,0.8886523001668096,201
10,mid_baseline,701,1199,0.9032783767732016,499
